Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (YYYY-MM-DD),Cataloger
JO_013,JM_023,34,JONOUCHI Motoharu,城之内元晴,Japanese strife relationship ,日本斗争関係,,,,,Fukuoka City Public Library,,BW,,,,16mm ,,,,ネガ,,,,,6 巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_014,JM_024,35,JONOUCHI Motoharu,城之内元晴,Nichidai gei kodo (Nihon University College of Art Lecture Hall),日大（芸）講堂にて,,,,,Fukuoka City Public Library,,BW,,00:06:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_015,JM_025,36,JONOUCHI Motoharu,城之内元晴,Nihon University Hakusandoori,日大白山通り,,,,,Fukuoka City Public Library,1968,BW,,00:09:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_008,JM_027,39,JONOUCHI Motoharu,城之内元晴,Collection of Negatives 3,ネガ集 ３,,,,,Fukuoka City Public Library,,BW & Color,,,,16mm ,,,,ネガ（ポジ混乱）,,,,,3 巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_008,JM_028,40,JONOUCHI Motoharu,城之内元晴,Collection of Negatives 2,ネガ集 ２,,,,,Fukuoka City Public Library,,,,,,16mm ,,,,ネガ,,,,,4巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_008,JM_029,41,JONOUCHI Motoharu,城之内元晴,Collection of Negatives 1,ネガ集 １,,,,,Fukuoka City Public Library,,,,,,16mm ,,,,ネガ,,,,,5巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_002,JM_005,6,JONOUCHI Motoharu,城之内元晴,WOLS,WOLS,,,,,Fukuoka City Public Library,1969,,,,,16mm ,,,,ネガ　（カットネガ×ポジ）,,,,,１７巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_002,JM_006,7,JONOUCHI Motoharu,城之内元晴,WOLS,WOLS,,,,,Fukuoka City Public Library,1969,Color,,00:18:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_002,JM_007,8,JONOUCHI Motoharu,城之内元晴,WOLS ,WOLS ,"Screening, loan-use, positive ",上映・貸出用ポジ,,,Fukuoka City Public Library,1969,Color,,00:18:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_002,JM_008,9,JONOUCHI Motoharu,城之内元晴,WOLS,WOLS,,,,,Fukuoka City Public Library,1969,Color,,,,16mm ,,,,ネガ,,,,,２巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_020,JM_030,42,JONOUCHI Motoharu,城之内元晴,The World of Nene,ねねの世界,,,,,Fukuoka City Public Library,1972,BW & Color,,00:11:00,,16mm ,,,,ポジ,,,,,1巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_021,JM_031,43,JONOUCHI Motoharu,城之内元晴,Hi-Red Center Shelter Plan,ハイレッドセンター・シェルタープラン,"Hi Red Center ""Shelter Plan""",『ハイレッドセンター・シェルタープラン』 ,,,Fukuoka City Public Library,,,,,,16mm ,,,,ポジ　(カットポジ）,,,,,26巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_022,JM_032,44,JONOUCHI Motoharu,城之内元晴,Hi-Red Center Shelter Plan,ハイレッドセンター・シェルタープラン,(Preservation copy),（保存用）,,,Fukuoka City Public Library,1964,BW,,00:18:00,,16mm ,,,,ポジ,,,,,1 巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_022,JM_033,45,JONOUCHI Motoharu,城之内元晴,Hi-Red Center Shelter Plan,ハイレッドセンター・シェルタープラン,(Screening copy),（上映用）,,,Fukuoka City Public Library,1964,BW,,00:18:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_022,JM_034,46,JONOUCHI Motoharu,城之内元晴,Hi-Red Center Shelter Plan,ハイレッドセンター・シェルタープラン,"Screening, loan-use, positive ",上映・貸出用ポジ,,,Fukuoka City Public Library,1964,BW,,00:18:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_022,JM_035,47,JONOUCHI Motoharu,城之内元晴,Hi-Red Center Shelter Plan,ハイレッドセンター・シェルタープラン　（未編）,,,,,Fukuoka City Public Library,1964,BW,,,,16mm ,,,,ネガ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_022,JM_036,48,JONOUCHI Motoharu,城之内元晴,Unused negatives,未使用ネガ,Hi-Red Center/Station Baby,ハイレッドセンター/ステーションの赤ちゃん,,,Fukuoka City Public Library,,BW,,,,16mm ,,,,ネガ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
