Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (MM-DD-YYYY),Cataloger
TA_075,IT_197,,IIMURA Takahiko,飯村隆彦,SHUTTER,シャッター,,,,,Iimura Takahiko,,,,,Sound,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,For Pix (sound 1),,,,,,CCJ
TA_075,IT_198,,IIMURA Takahiko,飯村隆彦,SHUTTER,シャッター,,,,,Iimura Takahiko,,,,,Sound,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,For pix (Sound 2),,,,,,CCJ
TA_076,IT_134,36,IIMURA Takahiko,飯村隆彦,Sky and Ground,スカイ・アンド・グラウンド,,,,,Iimura Takahiko,1991–93,,,,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annotations indicate this is version #3 with poem of two-channel video; see #37.,,CCJ
TA_076,IT_135,37,IIMURA Takahiko,飯村隆彦,Sky and Ground,スカイ・アンド・グラウンド,,,,,Iimura Takahiko,1991–93,,,,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annotations indicate this is channel 2 of two-channel video; see #36,,CCJ
TA_076,IT_230,,IIMURA Takahiko,飯村隆彦,Sky and Ground,スカイ・アンド・グラウンド,,,,,Iimura Takahiko,,Color,Sound,00:17:00,Film,16mm,,,Master / マスター,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック; Transfer from video <master>,,,,,,
TA_076,IT_231,,IIMURA Takahiko,飯村隆彦,Sky and Ground,スカイ・アンド・グラウンド,,,,,Iimura Takahiko,,Color,Sound,00:17:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック; Transfer from Video Print やや赤め,,,,,,
TA_077,IT_233,,IIMURA Takahiko,飯村隆彦,Summer Happenings U.S.A,サマー・ハプニング U.S.A,,,,,Iimura Takahiko,,BW,Sound,00:27:00,Film,16mm,,,Master / マスター,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック,,,,,,
TA_077,IT_234,,IIMURA Takahiko,飯村隆彦,Summer Happenings U.S.A,サマー・ハプニング U.S.A,,,,,Iimura Takahiko,,BW,Sound,00:27:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Metal / メタル缶,,,,,,
TA_078,IT_095,,IIMURA Takahiko,飯村隆彦,SYNC SOUND,シンク・サウンド,Sound by Takahiko Iimura,,,,Iimura Takahiko,1975,BW,Sound,00:08:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,"Plastic / プラスチック; side:TAKA IIMURA,""SYNC SOUND""(1975)
TOP:TAKA IIMURA,SYNC SOUND (1975),B/W,8min.OPT.SND",シンクサウンド,,,,,CCJ
TA_078,IT_096,,IIMURA Takahiko,飯村隆彦,SYNC SOUND,シンク・サウンド,Sound by Takahiko Iimura,,,,Iimura Takahiko,1975,BW,Sound,00:08:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,"Metal / メタル缶; side:SYNC SOUND 
TOP:SYNC SOUND,(1975.Reversed 1978),by Taka IIMURA,81/2min .B/W.opt.Sound",,,,,,CCJ
TA_078,IT_166,,IIMURA Takahiko,飯村隆彦,SYNC SOUND,シンク・サウンド,,,,,Iimura Takahiko,1975,BW,Sound,00:09:00,Film,16mm,,,Master / マスター,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_079,IT_044,,IIMURA Takahiko,飯村隆彦,Taka and Ako,タカとアコ,Blow-up from R. 8mm,,,,Iimura Takahiko,1966,BW,Silent,,Film,8mm,,,Duplicate Print / デュープ　,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,,"TAKA AND AKO タコとアコ,コピー",,,,,CCJ
TA_079,IT_045,,IIMURA Takahiko,飯村隆彦,Taka and Ako,タカとアコ,,,,,Iimura Takahiko,1966,BW,Silent,,Film,16mm,,,Other / 他,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,,,,,"""Work Print"" means Not Complete. ",,CCJ
