ID,Title (EN),Title (JP),Component ID,Component Name,Previous ID,Artist Name (EN),Artist Name (JP),Description (EN),Description (JP),Contributors (EN),Contributors (JP),Description (JP),Creation Date,Color,Sound,Run time (HH:MM:SS),Collection,Media Type,Media Format,Component Type,Relation,Film Process Type,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms of Governing Use,Color,Sound,FPS,Ft.,Reel/Core,Film Base,Brand,Housing Material,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Digitization Status (EN),Digitization Status (JP),"Rights Holder Primary (EN)
（Name, Address, Phone, Email)",JP Rights Holder Primary (JP),Rights Holder Notes (EN),Rights Holder Notes (JP),Genre,Cataloger & Date,Cataloger & Date Other,Notes,Date of Entry (MM-DD-YYYY),Cataloger
TI_025,ONAN,オナン,,,,TAKAHIKO Iimura,飯村隆彦,,,Music by Tone Yasunao,音：刀根康尚,,1964,,,8 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,Plastic / プラスチック; 1991 print,,,,,,,,,,,,"AA, RI",,,CCJ
TI_028,Anma (The Masseurs),あんま,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1963,,,,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Metal / メタル缶; Master positive,,Mold,,,,,,,,,,"AA, RI",,,CCJ
TI_029,Anma (The Masseurs),あんま,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,,,,1963,,,,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Metal / メタル缶,,,,,,,,,,,,"AA, RI",,,CCJ
TI_030,Anma (The Masseurs),あんま,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,,,,1963,,,12 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Plastic / プラスチック; ""A Butoh by Tatsumi Hijikata and Kazuo Ono"" Print. Intertitles in English. 16mm blowup",,,,,,,,,,,,"AA, RI",,,CCJ
TI_031,Anma (The Masseurs),あんま,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,,,,1963,,,13 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Plastic / プラスチック; In English. Taka Iimura. ,,,,,,,,,,,,"AA, RI",,,CCJ
TI_032,Anma (The Masseurs),あんま,,,,TAKAHIKO Iimura,飯村隆彦,,,,,改訂版,1963,,,17 min,,Film,8mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,,,,,,,,,,,,,,,,,,,"AA, RI",The catalog indicates 15 min. ,,CCJ
TI_033,Rose Colored Dance,バラ色ダンス,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1964,,,13 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Top: 13min
Side: 9 min",,,,,,,,,,,,"AA, RI",,,CCJ
TI_034,A Dance Party in the Kingdom of Lilliput [#2],リリパット王国舞踏会,,,,TAKAHIKO Iimura,飯村隆彦,To be projected side by side sound version on the right.,,Music by Kosugi Takehisa,音：小杉武久,,1964,,,,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,"Plastic / プラスチック; Side: Taka Iimura, A Dance Party in the Kingdom of Liliput #2, 1962, silent, 24fps
Top: Taka Iimura, A Dance Party in the Kingdom of Liliput #2, Silent, 24fps, For W Projection, Left Side","Reel: A Dance Party in the Kingdom of Lilput #2 (1964), Taka Iimura, Silent, 24fps. ",,,,,,,,,,,"AA, RI","#2 was over-exposed and couldn't print. Printed in the U.S. Changed the order. Decided to edit, and made #2, which is supposed to be played next to #1. Length not indicated, Iimura thinks it should be the same length as the others . 034 & 037 are #2. Both are 24fps. 037 is 12 min. Probably not printed around the same. ",,CCJ
TI_035,A Dance Party in the Kingdom of Lilliput,リリパット王国舞踏会,,,,TAKAHIKO Iimura,飯村隆彦,,,Music by Kosugi Takehisa,音：小杉武久,,1964,,,12 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,"Side: A Dance Party in the Garden of Liliput, 1964, Takahiko Iimura,  Snd, 12min",Dance Party,,,,,,,,,,,"AA, RI",,,CCJ
TI_036,A Dance Party in the Kingdom of Lilliput,リリパット王国舞踏会,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1964,,,13 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,,24fps,,,,,,"Side: 飯村隆彦リリパット王国舞踏会、１９６４、BW,１３分
上：飯村隆彦リリパット王国舞踏会、１３分、１９６４、モノクロ光学録音、、２４fps、２台同時映写（右）、サウンド",フィルム：リリパット（右）サウンド、２４fps、同時スタート点（穴あり）そろえる,,,,,,,,,,,"AA, RI",映写する人がフィルムのリーダーに穴があるからそれを２台とも揃えてください。,,CCJ
TI_037,A Dance Party in the Kingdom of Lilliput [#2],リリパット王国舞踏会 #2,,,,TAKAHIKO Iimura,飯村隆彦,To be projected side by side sound version on the right.,,,,,1964,,,12 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,"Side:A Dance Party in the Kingdom of Liliput, For W projection only, #2
Top: For W Projection only, TAKA IIMURA, A DANCE PARTY in the Kingdom of Liliput (1964), Different order, (To be shown with number 1, double projection, side by side) 12 min, b/w, slient 24fps, ２台同時映写（左）",リリパット（左）２４fps、２台同自衛者（左）サイレント、No.2,,,,,,,,,,,"AA, RI",,,CCJ
TI_038,I Saw the Shadow,私は影を見た,,,,TAKAHIKO Iimura,飯村隆彦,Blowun up from R. 8mm,,,,,1966,,,12 min,,Film,8mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Plastic / プラスチック,,,,,,,,,,,,"AA, RI",,,CCJ
TI_039,I Saw the Shadow,私は影を見た,,,,TAKAHIKO Iimura,飯村隆彦,Blowun up from R. 8mm,,,,,1966,,,12 min,,Film,8mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Plastic / プラスチック,,,,,,,,,,,,"AA, RI",,,CCJ
TI_040,I Saw The Shadow,私は影を見た,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,,,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,,,,,,,Plastic / プラスチック,,,,,,,,,,,,"AA, RI",,,CCJ
TI_041,I Saw the Shadow,私は影を見た,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,9 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Plastic / プラスチック; 1996 Black /White, 16fps, 9min, Original, Double performation, ",,,,,,,,,,,,"AA, RI",,,CCJ
TI_042,I Saw the Shadow,私は影を見た,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,13 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Plastic / プラスチック,,mold,,,,,,,,,,"AA, RI",,,CCJ
TI_043,I Saw The Shadow,私は影を見た,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,12 min,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Plastic / プラスチック; 1996 print,,Good,,,,,,,,,,"AA, RI",,,CCJ
TI_044,Taka and Ako,タカとアコ,,,,TAKAHIKO Iimura,飯村隆彦,Blown up from R. 8mm,,,,,1966,,,N/A,,Film,8mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,,"TAKA AND AKO タコとアコ,コピー",,,,,,,,,,,"AA, RI",,,CCJ
TI_045,Taka and Ako,タカとアコ,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,N/A,,Film,16mm,,,Other / 他,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,,,,,,,,,,,,,"AA, RI","""Work Print"" means Not Complete. ",,CCJ
TI_046,Taka and Ako,タカとアコ,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,8 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,Tail Up Double Performation,,,,,,,,,,,,"AA, RI",,,CCJ
TI_047,Taka and Ako,タカとアコ,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,N/A,,Film,16mm,,,Dupe Neg / デュープ・ネガ　,Internegative / インターネガ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
